@relation Audio-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 {1,2,}

@data
6.0153,0.96337,0.051648,0.35549,1
7.4324,0.28694,0.011152,0.15873,1
5.5268,0.82556,0.084948,0.35927,1
3.3632,0.079109,0.0068778,-0.03114,1
3.8329,0.13025,0.0016856,-0.011577,1
7.2358,1.0046,0.058856,0.41675,1
4.0005,0.27814,0.009719,0.045233,1
5.7728,0.81285,0.043731,0.29582,1
4.4113,0.56066,0.034903,0.17286,1
5.2183,1.0355,0.074124,0.38594,1
5.4247,0.17243,0.0085308,0.061112,1
6.0591,0.71867,0.054997,0.29912,1
3.8156,0.55776,0.052335,0.18196,1
3.2168,0.043381,0.00090343,-0.054873,1
6.1892,0.398,0.014057,0.15281,1
3.2654,0.51249,0.011823,0.085994,1
5.0155,0.34957,0.0039475,0.086383,1
3.6476,0.41748,0.01221,0.074181,1
4.3058,0.9782,0.083477,0.35759,1
6.2191,0.027653,0.0044973,0.042216,1
4.8319,0.28328,0.011289,0.075522,1
4.2713,0.4287,0.035846,0.13585,1
3.2942,0.1332,0.002721,-0.026193,1
4.8792,0.024737,0.0067264,0.002636,1
3.4792,0.0047566,0.0029911,-0.053096,1
4.4212,0.70577,0.0065833,0.164,1
3.9662,0.23148,0.0095444,0.031789,1
2.9099,0.074029,0.014056,-0.034995,1
4.7407,0.41118,0.013196,0.10885,1
4.1409,0.37215,0.022429,0.094958,1
3.5125,0.39809,0.022397,0.081681,1
3.6228,0.049506,0.0022604,-0.038175,1
6.2262,0.3118,0.018023,0.13823,1
4.3012,0.33607,0.0074526,0.066017,1
4.819,0.31596,0.0063657,0.075445,1
3.7019,0.067663,0.0054848,-0.025653,1
4.6782,0.37302,0.062109,0.17766,1
6.4272,0.3056,0.020349,0.14684,1
2.8823,0.5014,0.039601,0.11678,1
3.8878,0.26521,0.022438,0.059289,1
3.6914,0.0075093,0.0018822,-0.047483,1
3.9455,0.36551,0.0087416,0.064472,1
4.5218,0.077769,0.0071331,0.0056846,1
4.7132,0.19044,0.0042715,0.036178,1
3.2145,0.019534,0.0035668,-0.056722,1
4.4598,0.38053,0.023238,0.10857,1
5.5887,0.050294,0.0071617,0.032467,1
4.2121,0.2726,0.034334,0.091102,1
4.0723,0.18832,0.0079066,0.021294,1
3.2843,0.0012591,0.00087877,-0.063668,1
2.6882,0.37406,0.004154,0.019237,1
3.5621,0.18577,0.01372,0.014036,1
3.7266,0.10476,0.00073097,-0.023115,1
3.2945,0.13274,0.0068385,-0.019512,1
2.494,0.43119,0.036129,0.080581,1
9.0401,0.61581,0.032358,0.32975,1
3.6232,0.37096,0.017771,0.070548,1
3.2303,0.15866,0.017489,0.0027173,1
3.24,0.00093689,0.00081297,-0.065266,1
2.9943,0.23119,0.0025788,-0.010602,1
3.5785,0.2179,0.0067152,0.011316,1
4.7068,0.0014423,0.0008123,-0.018609,1
3.5717,0.23062,0.010696,0.020952,1
4.0044,0.25825,0.040805,0.091477,1
5.979,0.14028,0.0086241,0.070533,1
3.0216,0.0086778,0.0038919,-0.065112,1
4.259,0.42077,0.018922,0.1055,1
3.3834,0.0061567,0.0021351,-0.057186,1
3.1218,0.44974,0.0038778,0.052106,1
3.6467,0.077915,0.0070036,-0.022249,1
5.5732,0.19633,0.0018228,0.06094,1
2.903,0.036144,0.0032999,-0.062747,1
3.3278,0.34139,0.035166,0.082217,1
5.9295,0.26935,0.010219,0.10497,1
3.4008,0.30994,0.0072694,0.030397,1
3.2652,0.14721,0.016702,-0.00043508,1
3.1025,0.0662,0.0019093,-0.05094,1
3.356,0.0037005,0.0016268,-0.059528,1
2.8562,0.0082562,0.0031454,-0.071699,1
4.8203,0.14936,0.00055471,0.022818,1
3.2775,0.21388,0.0088537,0.0042538,1
2.9669,0.61744,0.083449,0.22178,1
5.4194,0.19023,0.0071781,0.063314,1
2.67,0.02302,0.0016476,-0.076257,1
3.4645,0.23822,0.016221,0.028628,1
2.786,0.0025238,0.00054281,-0.079702,1
3.4656,0.06136,0.002701,-0.03937,1
2.6834,0.048285,0.002322,-0.068186,1
4.5376,0.029651,0.00056248,-0.017093,1
3.2536,0.21913,0.0098444,0.006487,1
2.8721,0.0092991,0.0071512,-0.064319,1
6.8042,0.25981,0.0076043,0.12594,1
3.5935,0.0052549,0.0023967,-0.050323,1
3.4556,0.054551,0.0054693,-0.036882,1
2.7547,0.0024441,0.00041556,-0.080924,1
2.7946,0.0058453,0.0033401,-0.073956,1
2.3928,0.0047966,0.0023974,-0.088527,1
4.0643,0.25327,0.0021288,0.028309,1
3.8269,0.11395,0.010814,-0.0009305,1
3.0825,0.0057719,0.0044053,-0.063086,1
5.9944,0.24786,0.018051,0.11439,1
4.0999,0.25973,0.011257,0.046163,1
4.5757,0.44231,0.033782,0.14561,1
2.9455,0.063854,0.00060513,-0.058677,1
3.128,0.012642,0.0037842,-0.060891,1
2.4409,0.034626,0.0031077,-0.078114,1
3.3083,0.0015731,0.00075263,-0.063033,1
2.8741,0.051155,0.0021951,-0.061606,1
3.7939,0.16533,0.018517,0.024013,1
6.3261,0.1963,0.016443,0.10892,1
3.6028,0.22756,0.0086496,0.017773,1
4.3421,0.3297,0.015954,0.079683,1
3.2362,0.0022164,0.00071551,-0.065216,1
3.6682,0.052061,0.0041414,-0.032973,1
2.6908,0.057688,0.0052358,-0.060715,1
3.9232,0.0026862,0.0017149,-0.041655,1
2.4732,0.14756,0.003494,-0.047247,1
2.9989,0.15283,0.021407,0.00033037,1
6.7535,0.18466,0.017504,0.12122,1
3.3862,0.048504,0.0069682,-0.038176,1
4.0188,0.18809,0.017989,0.036162,1
3.3076,0.02158,0.0018553,-0.056065,1
3.4555,0.037283,0.0021992,-0.046745,1
2.6012,0.0065125,0.0030207,-0.080446,1
2.771,0.025578,0.0039046,-0.06867,1
4.1175,0.074282,0.0047439,-0.011981,1
3.1889,0.22022,0.0053772,-0.0026484,1
4.724,0.0039057,0.015811,0.0073065,1
2.8522,0.0022391,0.0021959,-0.074949,1
4.8838,0.21905,0.018311,0.072137,1
2.612,0.0026142,0.00056059,-0.085167,1
4.1806,0.034574,0.005554,-0.018913,1
2.9208,0.13077,0.0092747,-0.027859,1
3.0251,0.073536,0.003607,-0.048699,1
3.1591,0.11388,0.0058195,-0.030364,1
3.3594,0.13053,0.01635,-0.0023412,1
6.1579,0.58786,0.026842,0.222,1
2.9702,0.21837,0.0048835,-0.010877,1
4.5639,0.31711,0.014454,0.080989,1
3.7696,0.044066,0.0015829,-0.036042,1
3.6004,0.11847,0.009639,-0.0088809,1
3.3269,0.45282,0.0275,0.098363,1
3.32,0.12309,0.0021113,-0.028993,1
2.8626,0.019505,0.0018465,-0.070731,1
3.5153,0.24494,0.029627,0.054087,1
5.4842,0.77794,0.028556,0.25261,1
2.759,0.17747,0.0062021,-0.02598,1
4.1143,0.18603,0.016199,0.035706,1
2.3131,0.0033587,0.00041904,-0.09469,1
2.4952,0.02041,0.0029821,-0.080277,1
2.8333,0.3717,0.012962,0.037754,1
2.9982,0.31828,0.0035792,0.013697,1
4.0973,0.32246,0.0045249,0.051201,1
5.1475,0.27778,0.016068,0.091994,1
5.4429,0.097685,0.011755,0.047673,1
2.8789,0.16035,0.0050401,-0.02852,1
4.3096,0.28474,0.014488,0.064608,1
3.3526,0.15405,0.0017639,-0.020528,1
2.9797,0.0027052,0.0010733,-0.072636,1
2.7942,0.0074587,0.0032149,-0.073759,1
3.3691,0.0025519,0.0033399,-0.056587,1
3.4265,0.083619,0.0023188,-0.035484,1
3.2302,0.020078,0.0071071,-0.050247,1
4.3658,0.29052,0.019429,0.076034,1
2.5663,0.2382,0.0022876,-0.022843,1
4.71,0.28236,0.015325,0.078073,1
2.6409,0.0038365,0.00057303,-0.083913,1
2.7859,0.076675,0.0013583,-0.059183,1
3.6091,0.14694,0.0043685,-0.0099365,1
2.6501,0.046641,0.0032587,-0.068124,1
2.9148,0.18538,0.0046786,-0.021506,1
3.2116,0.020489,0.0070644,-0.0508,1
NaN,NaN,NaN,NaN,1
3.0497,0.15956,0.0023854,-0.027688,1
3.5514,0.21231,0.0084499,0.01187,1
2.9493,0.0025957,0.00066899,-0.074293,1
2.9224,0.030771,0.0021363,-0.065442,1
3.5274,0.14585,0.0047982,-0.0121,1
2.481,0.0022504,0.0026557,-0.085962,1
2.9647,0.059789,0.0017112,-0.057297,1
2.3826,0.0027036,0.0030057,-0.088389,1
NaN,NaN,NaN,NaN,1
NaN,NaN,NaN,NaN,1
3.9074,0.18477,0.013905,0.025035,1
2.746,0.0030868,0.00062466,-0.08069,1
2.6966,0.12776,0.0014343,-0.04868,1
2.8909,0.31463,0.0062162,0.013698,1
2.8233,0.15624,0.0020056,-0.036352,1
3.511,0.049364,0.0039029,-0.039049,1
6.17,1.2224,0.17616,0.63272,1
5.6764,0.50318,0.0070414,0.15218,1
3.4443,0.12626,0.003135,-0.022546,1
5.3307,0.45926,0.017358,0.14686,1
5.0286,0.97303,0.033614,0.29696,1
5.3431,0.49417,0.0087878,0.14215,1
6.9954,0.78058,0.074189,0.37648,1
4.8293,0.65675,0.072654,0.27322,1
5.7209,0.89454,0.078392,0.37246,1
4.8494,1.2884,0.20183,0.65024,1
4.5638,0.27642,0.0073227,0.058705,1
3.5302,0.18708,0.004525,-0.0017984,1
5.2312,0.39265,0.013826,0.12066,1
4.2157,0.5277,0.048712,0.1809,1
5.8067,0.21811,0.0072123,0.082867,1
7.0266,0.61203,0.075087,0.33536,1
6.3522,0.60832,0.0462,0.26538,1
6.422,0.96933,0.085226,0.42531,1
4.5627,0.93777,0.12811,0.42889,1
3.8376,0.37392,0.012822,0.069955,1
2.7119,0.076047,0.0010732,-0.062163,1
4.204,0.065368,0.010054,-0.002785,1
4.3612,0.21998,0.02625,0.068897,1
6.3171,0.11667,0.0060458,0.070897,1
4.9502,0.28405,0.01593,0.087126,1
5.1348,0.18989,0.0072262,0.054278,1
4.9033,0.51724,0.01077,0.13744,1
3.6591,0.64004,0.062477,0.215,1
3.1486,0.079082,0.012943,-0.027952,1
3.1434,0.20142,0.0027425,-0.0133,1
5.9488,0.13156,0.010229,0.069966,1
5.5238,0.15296,0.020531,0.079005,1
5.5826,0.22165,0.0050424,0.073097,1
4.3892,0.28886,0.020059,0.077387,1
5.6593,0.35946,0.010203,0.11968,1
3.5441,0.22523,0.0057846,0.010585,1
3.9999,0.58934,0.025745,0.15212,1
4.1946,0.1969,0.0049998,0.022598,1
3.583,0.10757,0.0012847,-0.02603,1
4.4394,0.17981,0.01091,0.03569,1
3.5029,0.0029481,0.0026687,-0.053346,1
6.2055,0.30259,0.0098667,0.12174,1
4.8037,0.0079553,0.0035703,-0.0093038,1
6.1179,0.24337,0.012981,0.10878,1
4.1537,0.23939,0.0067707,0.03521,1
4.3092,0.35706,0.014604,0.083491,1
3.2601,0.0048055,0.0038228,-0.058664,1
2.8411,0.014023,0.0022299,-0.072197,1
5.7972,0.15194,0.017345,0.082162,1
2.9026,0.2248,0.0025592,-0.015191,1
5.487,0.0028453,0.0048209,0.013112,1
3.6853,0.0055215,0.00239,-0.047353,1
6.7028,0.25656,0.021495,0.14479,1
3.9699,0.18937,0.0081027,0.018641,1
4.3433,0.32804,0.024404,0.093224,1
3.4259,0.084512,0.0061916,-0.028884,1
2.2797,0.19388,0.0027295,-0.042667,1
5.6547,0.26503,0.016959,0.10625,1
2.6198,0.33862,0.006361,0.011543,1
5.944,0.2341,0.0091625,0.094572,1
5.0247,0.27705,0.01597,0.087747,1
6.5722,0.35946,0.011551,0.15086,1
5.7125,0.27881,0.01005,0.10026,1
4.7803,0.34938,0.020415,0.10603,1
4.6154,0.16329,0.0072987,0.031045,1
2.4446,0.056024,0.0036732,-0.071533,1
5.0286,0.16966,0.010416,0.050939,1
3.3068,0.038329,0.0052539,-0.046154,1
5.0544,0.16963,0.0090885,0.049559,1
4.9089,0.29879,0.011668,0.082605,1
5.0106,0.13635,0.0060401,0.034535,1
4.0023,0.32232,0.0086753,0.054994,1
4.8444,0.34908,0.020154,0.10756,1
3.8375,0.44356,0.0067254,0.077907,1
2.9171,0.45253,0.0057759,0.049467,1
5.5357,0.11003,0.0094741,0.050048,1
2.7054,0.0013452,0.0013554,-0.081223,1
5.269,0.14075,0.0025878,0.038179,1
4.8938,0.13744,0.0068503,0.032451,1
4.8706,0.0028158,0.0020633,-0.010997,1
3.6202,0.066656,0.0042603,-0.030523,1
4.8749,0.28161,0.016121,0.084425,1
3.7937,0.16603,0.011552,0.012703,1
2.6781,0.0038503,0.0016031,-0.081031,1
4.5608,0.071376,0.0089029,0.008186,1
2.3551,0.0033259,0.0021844,-0.090454,1
5.1237,0.2944,0.0042295,0.076014,1
3.4514,0.16322,0.004105,-0.011163,1
4.9368,0.0036498,0.0024305,-0.0080747,1
2.7922,0.0048644,0.00045935,-0.079036,1
6.5375,0.46669,0.015801,0.1845,1
2.8016,0.0014849,0.00093878,-0.078821,1
3.284,0.22821,0.0017825,-0.0034925,1
5.1443,0.053364,0.00626,0.017679,1
1.9272,0.0026165,0.0014182,-0.10547,1
7.3065,0.23646,0.010153,0.14004,1
4.2835,0.33271,0.017627,0.081363,1
6.5718,0.002884,0.0075016,0.05195,1
3.8243,0.0027632,0.00083478,-0.046223,1
4.9972,0.32184,0.0094907,0.087771,1
3.6379,0.0039846,0.0015187,-0.050692,1
2.0828,0.016742,0.0016319,-0.096533,1
5.569,0.061434,0.0095681,0.038691,1
2.9063,0.078947,0.0031937,-0.05175,1
4.8372,0.02749,0.0019662,-0.0058323,1
3.2073,0.0046929,0.0012252,-0.064653,1
6.0568,0.0029876,0.0053276,0.032057,1
2.9973,0.11833,0.0050762,-0.035573,1
4.7722,0.35232,0.013284,0.094772,1
2.9592,0.019918,0.0037083,-0.064488,1
2.5605,0.037345,0.0011292,-0.076882,1
6.1794,0.16417,0.019306,0.10068,1
3.0586,0.0068749,0.0033139,-0.065358,1
5.2787,0.0033145,0.0040755,0.0053969,1
4.9595,0.27552,0.0084047,0.072806,1
5.1721,0.0023771,0.0022965,-0.0011602,1
3.4002,0.27412,0.0053468,0.017943,1
5.525,0.3618,0.013761,0.12189,1
5.2503,0.0058156,0.002666,0.0028176,1
3.0258,0.10309,0.002304,-0.04318,1
5.4512,0.23527,0.014198,0.087548,1
2.2674,0.00294,0.0024583,-0.092885,1
5.6011,0.43136,0.0055591,0.12877,1
4.5534,0.15831,0.0063114,0.026163,1
5.6052,0.078275,0.0061032,0.038483,1
2.9454,0.30312,0.00092572,0.0037243,1
5.4404,0.35217,0.015723,0.11996,1
4.3147,0.0025992,0.0026167,-0.027771,1
2.5277,0.020363,0.0023424,-0.080313,1
4.6768,0.11088,0.0052217,0.016013,1
2.9918,0.0085367,0.0032152,-0.067211,1
4.4269,0.1182,0.0062849,0.011731,1
3.4653,0.13304,0.0063299,-0.014856,1
5.292,0.0018865,0.0039265,0.0052034,1
3.4424,0.054336,0.0013708,-0.044115,1
4.8146,0.37719,0.0089185,0.095353,1
2.6856,0.002961,0.00069658,-0.082518,1
2.548,0.38144,0.0055038,0.018924,1
5.075,0.19721,0.014652,0.066521,1
3.1195,0.067293,0.0031941,-0.048001,1
4.748,0.097663,0.0023086,0.01005,1
4.446,0.083834,0.0073415,0.0051927,1
4.7045,0.0023528,0.002552,-0.015578,1
2.7031,0.00087466,0.00041755,-0.082962,1
4.1146,0.39201,0.013884,0.085169,1
2.9365,0.0011027,0.0014644,-0.073773,1
2.5566,0.077372,0.0010473,-0.066787,1
5.1572,0.058426,0.009143,0.024152,1
3.0941,0.0018379,0.0015361,-0.068466,1
4.3526,0.2835,0.011002,0.059906,1
3.6149,0.0066992,0.0027577,-0.048677,1
5.5317,0.21585,0.0065891,0.072531,1
2.5239,0.00077156,0.00049805,-0.088542,1
5.1462,0.39592,0.010628,0.11353,1
3.1736,0.10262,0.0005389,-0.041527,1
2.652,0.0019999,0.00064941,-0.083911,1
3.9301,0.0036152,0.0023039,-0.040223,1
2.4403,0.00096727,0.00098975,-0.090332,1
4.9962,0.18566,0.0074335,0.049129,1
5.4607,0.28428,0.012675,0.098011,1
5.2811,0.22984,0.0061017,0.067397,1
2.4275,0.002433,0.00039536,-0.091339,1
5.0264,0.34624,0.022103,0.11581,1
3.4173,0.11301,0.0057828,-0.022463,1
2.9993,0.070146,0.0010226,-0.054656,1
4.378,0.060056,0.0083035,-0.0015253,1
2.5248,0.0028511,0.0032228,-0.083483,1
4.3442,0.11052,0.0018932,-0.00011663,1
4.1752,0.0023586,0.0026239,-0.032247,1
5.889,0.28162,0.0059867,0.099882,1
2.3548,0.0011973,0.0004379,-0.093893,1
5.8611,0.38788,0.023882,0.15599,1
3.6113,0.10534,0.0010807,-0.026045,1
3.2902,0.3172,0.003673,0.022834,1
5.2438,0.042325,0.0096288,0.023537,1
2.4523,0.012015,0.0034546,-0.08303,1
4.5273,0.0071475,0.0035735,-0.018274,1
3.9622,0.081802,0.005984,-0.012917,1
4.5026,0.0031486,0.0034667,-0.020269,1
3.093,0.22853,0.0010973,-0.010601,1
5.4178,0.21453,0.011992,0.077486,1
3.6344,0.0017096,0.00078474,-0.0526,1
2.4928,0.041104,0.0019023,-0.076782,1
4.4133,0.007778,0.005411,-0.018696,1
2.636,0.0011403,0.0024818,-0.081618,1
5.0946,0.19542,0.0034788,0.048255,1
3.7394,0.1355,0.002038,-0.012604,1
4.3009,0.0011129,0.0011217,-0.031058,1
2.7508,0.0070787,0.0017613,-0.077629,1
2.2435,0.0016437,0.0006707,-0.096926,2
3.8571,0.0022296,0.0013823,-0.044417,2
2.0106,0.0020503,0.00080854,-0.10398,2
2.0826,0.0015301,0.00061962,-0.10214,2
3.1577,0.0011598,0.0024825,-0.065064,2
3.6923,0.39903,0.0052908,0.059419,2
3.1448,0.0021138,0.00076519,-0.068059,2
1.9224,0.0030669,0.00081263,-0.10651,2
